SEASON_ID,SEASON_TYPE,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,MATCHUP,WL,MIN,PTS,REB,AST,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,FG_PCT,FG3_PCT,FT_PCT
22024,Regular Season,0022400061,2024-10-22,1610612738,BOS,201143,Al Horford,BOS vs. NYK,W,26,11,3,5,4,7,3,5,0,0,0,3,1,1,0,2,19,2202-03,0.5714285714285714,0.6,
22024,Regular Season,0022400061,2024-10-22,1610612738,BOS,201950,Jrue Holiday,BOS vs. NYK,W,31,18,4,4,7,9,4,6,0,0,2,2,1,0,0,2,23,2202-03,0.7777777777777778,0.6666666666666666,
22024,Regular Season,0022400062,2024-10-22,1610612747,LAL,2544,LeBron James,LAL vs. MIN,W,35,16,5,4,7,16,1,4,1,1,0,5,0,2,2,3,-6,2202-03,0.4375,0.25,1.0
22024,Regular Season,0022400062,2024-10-22,1610612747,LAL,1630559,Austin Reaves,LAL vs. MIN,W,36,12,9,4,6,14,0,5,0,1,4,5,1,1,0,4,12,2202-03,0.42857142857142855,0.0,0.0
22024,Regular Season,0022400062,2024-10-22,1610612750,MIN,201144,Mike Conley,MIN @ LAL,L,20,5,4,2,1,7,0,5,3,3,2,2,1,0,3,1,-22,2202-03,0.14285714285714285,0.0,1.0
22024,Regular Season,0022400062,2024-10-22,1610612750,MIN,1629675,Naz Reid,MIN @ LAL,L,26,12,4,1,3,8,2,4,4,4,1,3,0,0,1,3,-6,2202-03,0.375,0.5,1.0
22024,Regular Season,0022400062,2024-10-22,1610612750,MIN,1630183,Jaden McDaniels,MIN @ LAL,L,16,6,2,1,3,8,0,3,0,0,0,2,1,0,1,5,-8,2202-03,0.375,0.0,
22024,Regular Season,0022400061,2024-10-22,1610612752,NYK,1626166,Cameron Payne,NYK @ BOS,L,21,11,3,4,5,10,1,4,0,0,1,2,1,0,1,3,0,2202-03,0.5,0.25,
22024,Regular Season,0022400061,2024-10-22,1610612738,BOS,1629674,Neemias Queta,BOS vs. NYK,W,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2202-03,,,
22024,Regular Season,0022400061,2024-10-22,1610612738,BOS,1630214,Xavier Tillman,BOS vs. NYK,W,18,2,7,2,1,6,0,3,0,0,3,4,0,0,0,1,-3,2202-03,0.16666666666666666,0.0,
